GLITCH GALA,bit.ly/glitchgala24,0,0
Do You Like Me?,"Maggie, Sujin, Sydney",1,1
Granny's Got Game,"Sam, Sofia",0,0
Bluephoria,"BonBon, Leilah, Sevin",0,0
Unidentified Dance Engine,"Annelise, Parth",0,2
⦿ ⦿,"Luna, Ruiqi, Ting",0,1
AguaViva,"Aline, Huaijin, Sarah",0,0
INTERMISSION,10 minutes,0,0
Inkspire,"Claire, Xiangyi, Jean",0,1
Hole in the Wall,"Helena, Michelle, Ynes",0,0
Partycles,"Jack, Junha, Rudy",0,0
Fairfax Elevator,"Kally, Thomas, Tyra",0,1
The Ride of Your Life,"Lucas, Max",2,0
Beth (The Fountain),"Ace, Mia",0,1
THANKS Y'ALL,,0,0