"EOS Nomad ""Channel""",Label,Address,Type,# of Channels ,Channel Footprint,Layout Column (X Slot),Layout Row      (Y Slot)
1,A,1,par,6,6,0,6
2,F,7,par,6,6,6,6
3,B,13,par,6,6,0,5
4,C,19,par,6,6,2,5
5,D,25,par,6,6,4,5
6,E,31,par,6,6,6,5
7,G,225,spot,5,8,0,4
8,H,233,spot,5,8,2,4
9,I,241,spot,5,8,4,4
10,J,249,spot,5,8,6,4
11,K,57,par,6,6,0,3
12,L,63,par,6,6,2,3
13,M,69,par,6,6,4,3
14,N,75,par,6,6,6,3
15,O,81,par,6,6,0,2
17,Q,297,spot,5,8,3,2
19,S,102,par,6,6,6,2
20,T,108,par,6,6,0,1
21,U,114,par,6,6,2,1
22,V,120,par,6,6,4,1
23,W,126,par,6,6,6,1
24,X,132,par,6,6,2,0
25,Y,138,par,6,6,4,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
16,MHL,,head,,,,
,base modules,"405-410, 421-425",,,,,
,MHR,,head,,,,
,,,,,,,
16,P,289,spot,5,8,2,2
18,R,305,spot,5,8,4,2