"EOS Nomad ""Channel""",Label,Address,Type,# of Channels ,Channel Footprint
1,A,1,par,6,6
2,F,7,par,6,6
3,B,13,par,6,6
4,C,19,par,6,6
5,D,25,par,6,6
6,E,31,par,6,6
7,G,225,spot,5,8
8,H,233,spot,5,8
9,I,241,spot,5,8
10,J,249,spot,5,8
11,K,57,par,6,6
12,L,63,par,6,6
13,M,69,par,6,6
14,N,75,par,6,6
15,O,81,par,6,6
16,P,289,spot,5,8
17,Q,297,spot,5,8
18,R,305,spot,5,8
19,S,102,par,6,6
20,T,108,par,6,6
21,U,114,par,6,6
22,V,120,par,6,6
23,W,126,par,6,6
24,X,132,par,6,6
25,Y,138,par,6,6
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Z,,moving head,,