"EOS Nomad ""Channel""",Label,Address,Type,Channel Footprint,Layout Column (X Slot),Layout Row      (Y Slot),room section,# of Channels 
1,,1,spot,6,,,cabinets,
2,,7,spot,6,,,cabinets,
3,,13,spot,6,,,cabinets,
4,,19,spot,6,,,cabinets,
5,,25,spot,6,,,cabinets,
6,,31,spot,6,,,cabinets,
7,,37,spot,6,,,cabinets,
8,,43,spot,6,,,cabinets,
10,,49,spot,6,,,facing cabinets,
11,,55,spot,6,,,facing cabinets,
12,,61,spot,6,,,facing cabinets,
13,,67,spot,6,,,facing cabinets,
14,,73,spot,6,,,facing cabinets,
15,,79,spot,6,,,facing cabinets,
16,,85,spot,6,,,facing cabinets,
17,,91,spot,6,,,facing cabinets,
20,,97,spot,6,,,side lights facing piano,
21,,103,spot,6,,,side lights facing piano,
22,,109,spot,6,,,side lights facing piano,
23,,115,spot,6,,,side lights facing piano,
24,,121,spot,6,,,side lights facing piano,
25,,127,spot,6,,,side lights facing piano,
30,,133,spot,6,,,side lights facing mirror,
31,,139,spot,6,,,side lights facing mirror,
32,,145,spot,6,,,side lights facing mirror,
33,,151,spot,6,,,side lights facing mirror,
34,,157,spot,6,,,side lights facing mirror,
35,,163,spot,6,,,side lights facing mirror,
50,,169,par,5,,,,
51,,174,par,5,,,,
52,,179,par,5,,,,
53,,184,par,5,,,,
54,,189,par,5,,,,
55,,194,par,5,,,,
56,,199,par,5,,,,
57,,204,par,5,,,,
58,,209,par,5,,,,
59,,214,par,5,,,,
60,,219,par,5,,,,
61,,224,par,5,,,,
62,,229,par,5,,,,
63,,234,par,5,,,,
64,,239,par,5,,,,
65,,244,par,5,,,,
70,,249,spot,6,,,cross corner,
71,,255,spot,6,,,cross corner,
80,,261,cyc,5,,,,
81,,266,cyc,5,,,,
82,,271,cyc,5,,,,
83,,276,cyc,5,,,,
84,,281,cyc,5,,,,